PID(18823) ,execname(stapio) probe point:(kernel.function("handle_mm_fault@mm/memory.c:3832")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("SyS_clone@kernel/fork.c:2100")) 
PID(18823) ,execname(fork) probe point:(kernel.function("SYSC_clone@kernel/fork.c:2100")) 
PID(18823) ,execname(fork) probe point:(kernel.function("_do_fork@kernel/fork.c:1967")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_process@kernel/fork.c:1491")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_process@kernel/fork.c:1491")) 
PID(18823) ,execname(fork) probe point:(kernel.function("dup_task_struct@kernel/fork.c:486")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_task_struct_node@kernel/fork.c:151")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_thread_stack_node@kernel/fork.c:183")) 
PID(18823) ,execname(fork) probe point:(kernel.function("set_task_stack_end_magic@kernel/fork.c:478")) 
PID(18823) ,execname(fork) probe point:(kernel.function("account_kernel_stack@kernel/fork.c:291")) 
PID(18823) ,execname(fork) probe point:(kernel.function("rt_mutex_init_task@kernel/fork.c:1435")) 
PID(18823) ,execname(fork) probe point:(kernel.function("rcu_copy_process@kernel/fork.c:1468")) 
PID(18823) ,execname(fork) probe point:(kernel.function("posix_cpu_timers_init@kernel/fork.c:1449")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_files@kernel/fork.c:1240")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_fs@kernel/fork.c:1220")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_sighand@kernel/fork.c:1293")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_signal@kernel/fork.c:1346")) 
PID(18823) ,execname(fork) probe point:(kernel.function("posix_cpu_timers_init_group@kernel/fork.c:1327")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_mm@kernel/fork.c:1174")) 
PID(18823) ,execname(fork) probe point:(kernel.function("dup_mm@kernel/fork.c:1139")) 
PID(18823) ,execname(fork) probe point:(kernel.function("mm_init@kernel/fork.c:766")) 
PID(18823) ,execname(fork) probe point:(kernel.function("mm_init_aio@kernel/fork.c:751")) 
PID(18823) ,execname(fork) probe point:(kernel.function("mm_init_owner@kernel/fork.c:759")) 
PID(18823) ,execname(fork) probe point:(kernel.function("mm_alloc_pgd@kernel/fork.c:708")) 
PID(18823) ,execname(fork) probe point:(kernel.function("dup_mmap@kernel/fork.c:568")) 
PID(18823) ,execname(fork) probe point:(kernel.function("get_mm_exe_file@kernel/fork.c:958")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__pud_alloc@mm/memory.c:3919")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__pmd_alloc@mm/memory.c:3949")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__pud_alloc@mm/memory.c:3919")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__pmd_alloc@mm/memory.c:3949")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__pud_alloc@mm/memory.c:3919")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__pmd_alloc@mm/memory.c:3949")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_rss_vec@mm/memory.c:672")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_p4d_range@mm/memory.c:1093")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pud_range@mm/memory.c:1059")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_pmd_range@mm/memory.c:1026")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_one_pte@mm/memory.c:888")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_rss_vec@mm/memory.c:667")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_page_range@mm/memory.c:1115")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_io@kernel/fork.c:1267")) 
PID(18823) ,execname(fork) probe point:(kernel.function("copy_seccomp@kernel/fork.c:1395")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_task_pid@kernel/fork.c:1463")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_task_pid@kernel/fork.c:1463")) 
PID(18823) ,execname(fork) probe point:(kernel.function("init_task_pid@kernel/fork.c:1463")) 
PID(18823) ,execname(fork) probe point:(kernel.function("handle_mm_fault@mm/memory.c:3832")) 
PID(18823) ,execname(fork) probe point:(kernel.function("check_sync_rss_stat@mm/memory.c:170")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__handle_mm_fault@mm/memory.c:3749")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__get_fault_gfp_mask@mm/memory.c:2157")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_wp_page@mm/memory.c:2517")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("wp_page_copy@mm/memory.c:2283")) 
PID(18823) ,execname(fork) probe point:(kernel.function("cow_user_page@mm/memory.c:2129")) 
PID(18823) ,execname(fork) probe point:(kernel.function("handle_mm_fault@mm/memory.c:3832")) 
PID(18823) ,execname(fork) probe point:(kernel.function("check_sync_rss_stat@mm/memory.c:170")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__handle_mm_fault@mm/memory.c:3749")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__get_fault_gfp_mask@mm/memory.c:2157")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_wp_page@mm/memory.c:2517")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("wp_page_copy@mm/memory.c:2283")) 
PID(18823) ,execname(fork) probe point:(kernel.function("cow_user_page@mm/memory.c:2129")) 
PID(18823) ,execname(fork) probe point:(kernel.function("handle_mm_fault@mm/memory.c:3832")) 
PID(18823) ,execname(fork) probe point:(kernel.function("check_sync_rss_stat@mm/memory.c:170")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__handle_mm_fault@mm/memory.c:3749")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__get_fault_gfp_mask@mm/memory.c:2157")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_wp_page@mm/memory.c:2517")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("wp_page_copy@mm/memory.c:2283")) 
PID(18823) ,execname(fork) probe point:(kernel.function("cow_user_page@mm/memory.c:2129")) 
00400000-00402000 r-xp 00000000 fd:00 6819537                            /root/noteGit/process/fork/fork
00601000-00602000 r--p 00001000 fd:00 6819537                            /root/noteGit/process/fork/fork
00602000-00603000 rw-p 00002000 fd:00 6819537                            /root/noteGit/process/fork/fork
00d0b000-00d2d000 rw-p 00000000 00:00 0                                  [heap]
7f1c0a4c8000-7f1c0a693000 r-xp 00000000 fd:00 10756900                   /usr/lib64/libc-2.25.so
7f1c0a693000-7f1c0a893000 ---p 001cb000 fd:00 10756900                   /usr/lib64/libc-2.25.so
7f1c0a893000-7f1c0a897000 r--p 001cb000 fd:00 10756900                   /usr/lib64/libc-2.25.so
7f1c0a897000-7f1c0a899000 rw-p 001cf000 fd:00 10756900                   /usr/lib64/libc-2.25.so
7f1c0a899000-7f1c0a89d000 rw-p 00000000 00:00 0 
7f1c0a89d000-7f1c0a8c3000 r-xp 00000000 fd:00 10758760                   /usr/lib64/ld-2.25.so
7f1c0aa92000-7f1c0aa94000 rw-p 00000000 00:00 0 
7f1c0aac2000-7f1c0aac3000 r--p 00025000 fd:00 10758760                   /usr/lib64/ld-2.25.so
7f1c0aac3000-7f1c0aac5000 rw-p 00026000 fd:00 10758760                   /usr/lib64/ld-2.25.so
7ffff6838000-7ffff6859000 rw-p 00000000 00:00 0                          [stack]
7ffff6893000-7ffff6895000 r--p 00000000 00:00 0                          [vvar]
7ffff6895000-7ffff6897000 r-xp 00000000 00:00 0                          [vdso]
ffffffffff600000-ffffffffff601000 r-xp 00000000 00:00 0                  [vsyscall]
18823:   ./fork
         Address Perm   Offset Device    Inode Size  Rss Pss Referenced Anonymous ShmemPmdMapped Shared_Hugetlb Private_Hugetlb Swap SwapPss Locked Mapping
        00400000 r-xp 00000000  fd:00  6819537    8    8   4          8         0              0              0               0    0       0      0 fork
        00601000 r--p 00001000  fd:00  6819537    4    4   2          4         4              0              0               0    0       0      0 fork
        00602000 rw-p 00002000  fd:00  6819537    4    4   4          4         4              0              0               0    0       0      0 fork
        00d0b000 rw-p 00000000  00:00        0  136    8   8          8         8              0              0               0    0       0      0 [heap]
    7f1c0a4c8000 r-xp 00000000  fd:00 10756900 1836 1184   7       1184         0              0              0               0    0       0      0 libc-2.25.so
    7f1c0a693000 ---p 001cb000  fd:00 10756900 2048    0   0          0         0              0              0               0    0       0      0 libc-2.25.so
    7f1c0a893000 r--p 001cb000  fd:00 10756900   16   16   8         16        16              0              0               0    0       0      0 libc-2.25.so
    7f1c0a897000 rw-p 001cf000  fd:00 10756900    8    8   8          8         8              0              0               0    0       0      0 libc-2.25.so
    7f1c0a899000 rw-p 00000000  00:00        0   16    8   6          8         8              0              0               0    0       0      0 
    7f1c0a89d000 r-xp 00000000  fd:00 10758760  152  152   0        152         0              0              0               0    0       0      0 ld-2.25.so
    7f1c0aa92000 rw-p 00000000  00:00        0    8    8   6          8         8              0              0               0    0       0      0 
    7f1c0aac2000 r--p 00025000  fd:00 10758760    4    4   2          4         4              0              0               0    0       0      0 ld-2.25.so
    7f1c0aac3000 rw-p 00026000  fd:00 10758760    8    8   6          8         8              0              0               0    0       0      0 ld-2.25.so
    7ffff6838000 rw-p 00000000  00:00        0  132   12  10         12        12              0              0               0    0       0      0 [stack]
    7ffff6893000 r--p 00000000  00:00        0    8    0   0          0         0              0              0               0    0       0      0 [vvar]
    7ffff6895000 r-xp 00000000  00:00        0    8    4   0          4         0              0              0               0    0       0      0 [vdso]
ffffffffff600000 r-xp 00000000  00:00        0    4    0   0          0         0              0              0               0    0       0      0 [vsyscall]
                                               ==== ==== === ========== ========= ============== ============== =============== ==== ======= ====== 
                                               4400 1428  71       1428        80              0              0               0    0       0      0 KB 
PID(18823) ,execname(fork) probe point:(kernel.function("handle_mm_fault@mm/memory.c:3832")) 
PID(18823) ,execname(fork) probe point:(kernel.function("check_sync_rss_stat@mm/memory.c:170")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__handle_mm_fault@mm/memory.c:3749")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__get_fault_gfp_mask@mm/memory.c:2157")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_wp_page@mm/memory.c:2517")) 
PID(18823) ,execname(fork) probe point:(kernel.function("vm_normal_page@mm/memory.c:791")) 
PID(18823) ,execname(fork) probe point:(kernel.function("wp_page_reuse@mm/memory.c:2245")) 
PID(18823) ,execname(fork) probe point:(kernel.function("handle_mm_fault@mm/memory.c:3832")) 
PID(18823) ,execname(fork) probe point:(kernel.function("check_sync_rss_stat@mm/memory.c:170")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__handle_mm_fault@mm/memory.c:3749")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__get_fault_gfp_mask@mm/memory.c:2157")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_fault@mm/memory.c:3466")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_read_fault@mm/memory.c:3359")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_fault_around@mm/memory.c:3304")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("handle_mm_fault@mm/memory.c:3832")) 
PID(18823) ,execname(fork) probe point:(kernel.function("check_sync_rss_stat@mm/memory.c:170")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__handle_mm_fault@mm/memory.c:3749")) 
PID(18823) ,execname(fork) probe point:(kernel.function("__get_fault_gfp_mask@mm/memory.c:2157")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_fault@mm/memory.c:3466")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_read_fault@mm/memory.c:3359")) 
PID(18823) ,execname(fork) probe point:(kernel.function("do_fault_around@mm/memory.c:3304")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("pmd_devmap_trans_unstable@mm/memory.c:3000")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
PID(18823) ,execname(fork) probe point:(kernel.function("alloc_set_pte@mm/memory.c:3158")) 
PID(18823) ,execname(fork) probe point:(kernel.function("add_mm_counter_fast@mm/memory.c:156")) 
